Общее,,,,,,,,Пласт,,,,,Режим,,,,,,,,,,,Даты,,Потенциал,,,Жидкость,,,,,,Месяц,,,,Насос,,,,,,,Скважина,,,Пакер,,,Давление,,,,,,Дополнительно
,Номер скважины,Куст,Дата,Состояние,СЭ,Рентабельность,,Пласт,Hвд,Удл.,H пер.,Н эфф.,Qн,Qж,%,Р(заб),Pпл,KH,Кпр,Kпрон,Скин-фактор,Rc,H дин,Пуски,Остановки,Qн,Qж,Qж (Д),Газовый фактор,Вязкость,Плотность нефти,Коб,Вязкость жидкости,Плотность воды,Нефть,Жидкость,Т раб,Т нак,Дата,Насос,Произв-ть,Hспуск,Напор,Гц,Текущие,Dэ/к,Dнкт,Dшт,Дата,Пакер,Hпак,Рбуф,Р лин.,Р затр.,Рприем,Н стат,Рзатр при Нстат,Примечание
Добывающая,4055G2,КУСТ-3,янв..2021,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","161,9","201,0","5,3","132,4","159,0","1331,8","8,13","1,1","0,0",250,,8/18/2019,8/6/2019,162,201,201,1409,"1,05","0,850","1,176","1,07","1,005",5018,6231,744,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"78,0","26,0","115,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","100,8","121,0","2,0","146,3","158,1","1556,3","9,61","2,0","0,0",250,,3/14/2020,2/29/2020,101,121,121,2042,"1,05","0,850","1,176","1,06","1,005",3125,3751,744,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"90,0","35,9","116,0","139,7",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","46,2","54,9","1,0","124,9","130,1","1744,2","10,81","114,8","0,0",250,,8/25/2020,8/20/2020,46,55,55,1748,"1,05","0,850","1,176","1,05","1,005",1432,1702,744,,25/08/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"90,0","26,0","109,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,дек..2020,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","148,6","184,0","5,0","134,4","140,5","5036,6","30,76","4,2","0,0",250,,8/18/2019,8/6/2019,149,184,184,1423,"1,05","0,850","1,176","1,07","1,005",4606,5704,744,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"82,0","30,0","110,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","106,0","126,0","1,0","144,8","144,0","19793,3","122,69","26,0","0,0",250,,3/14/2020,2/29/2020,106,126,126,1867,"1,05","0,850","1,176","1,05","1,005",3287,3906,744,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"94,0","36,0","115,0","137,6",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","43,9","52,2","1,0","124,9","149,5","369,4","2,29","24,3","0,0",250,,8/25/2020,8/20/2020,44,52,52,1772,"1,05","0,850","1,176","1,05","1,005",1362,1618,744,,25/08/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"91,0","23,5","105,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,нояб..2020,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","155,0","193,0","5,5","137,8","140,5","11689,8","71,25","9,9","0,0",250,,8/18/2019,8/6/2019,155,193,193,1315,"1,05","0,850","1,176","1,07","1,005",4651,5790,720,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"81,0","27,6","110,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","106,9","127,0","1,0","142,9","144,0","11237,3","69,66","14,8","0,0",250,,3/14/2020,2/29/2020,107,127,127,1984,"1,05","0,850","1,176","1,05","1,005",3206,3810,720,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"88,0","34,6","100,0","136,8",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","38,6","45,9","1,0","124,9","149,5","324,8","2,01","21,4","0,0",250,,8/25/2020,8/20/2020,39,46,46,1809,"1,05","0,850","1,176","1,05","1,005",1159,1377,720,,25/08/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"90,0","24,5","108,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,окт..2020,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","163,6","200,0","3,8","132,4","140,5","4110,3","25,22","3,5","0,0",250,,8/18/2019,8/6/2019,164,200,200,1259,"1,05","0,850","1,176","1,06","1,005",4084,4992,599,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"85,0","24,6","111,0","0,0",0,"0,000",
