Скважина,Дата,Пласт,ГИС,Тип,Перфоратор,N отв,Hнач(md),Hкон(md),Hнач(abs),Hкон(abs),"Hнач(abs,тр)","Hкон(abs,тр)",Плотность,Открыт
95R,30.12.1983,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,168,1886.0,1900.0,1846.3,1860.3,1846.3,1860.3,12,Да
95R,07.03.1984,НП2-3,,ДОСТРЕЛ,Пкс-80,48,1886.0,1890.0,1846.3,1850.3,1846.3,1850.3,12,Да
95R,31.07.2018,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,24,1886.0,1888.0,1846.3,1848.3,1846.3,1848.3,12,Да
172R,22.06.1985,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,72,1887.0,1893.0,1836.3,1842.3,1836.3,1842.3,12,Да
172R,22.06.1985,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1887.0,1893.0,1836.3,1842.3,1836.3,1842.3,12,Да
179R,26.04.1986,БЯ23,,ПЕРВИЧ.ПЕРФ.,ПР-43,70,1887.0,1894.0,1841.5,1848.5,1841.5,1848.5,10,Да
78R,08.07.1968,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,28,1887.0,1891.0,1843.3,1847.3,1843.3,1847.3,7,Да
95R,30.12.1983,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,144,1888.0,1900.0,1848.3,1860.3,1848.3,1860.3,12,Да
95R,31.07.2018,НП2-3,,ПЕРЕСТРЕЛ,ЗПКО-102ПП,192,1888.0,1894.0,1848.3,1854.3,1848.3,1854.3,32,Да
114R,26.03.1985,НП4,,ПЕРВИЧ.ПЕРФ.,ПР-43,50,1890.0,1895.0,1848.7,1853.7,1848.7,1853.7,10,Да
146R,07.04.1984,НП5/1а,,ПЕРВИЧ.ПЕРФ.,,0,1890.0,1894.0,1844.2,1848.2,1844.2,1848.2,0,Да
170R,17.06.1985,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1890.0,1896.0,1845.2,1851.2,1845.2,1851.2,12,Да
202R,26.08.1988,НП5/1а,,ПЕРВИЧ.ПЕРФ.,ПР-43,70,1890.0,1897.0,1847.7,1854.7,1847.7,1854.7,10,Да
202R,23.03.2013,НП5-1,,,Д1-105,0,1890.0,2080.0,1847.7,2037.7,1847.7,2037.6,0,Да
202R,01.09.2015,НП5/1а,,ЗАЛИВКА,,0,1890.0,1897.0,1847.7,1854.7,1847.7,1854.7,0,Да
202R,09.08.2017,НП5/1а,,ПЕРЕСТРЕЛ,Скорпион ПП 25 ГП (89),70,1890.0,1897.0,1847.7,1854.7,1847.7,1854.7,10,Да
73R,25.03.1968,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пк-103,66,1890.0,1896.0,1838.4,1844.4,1838.4,1844.4,11,Да
83R,27.12.1979,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1890.0,1900.0,1845.8,1855.8,1845.8,1855.8,6,Да
111R,27.12.1982,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,1891.0,1898.0,1846.4,1853.4,1846.4,1853.4,12,Да
133R,22.06.1982,НП4,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,1891.0,1898.0,1872.9,1879.9,1872.9,1879.9,12,Да
175R,13.04.1985,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,1891.0,1894.0,1859.4,1862.4,1859.4,1862.4,12,Да
