Скважина,Дата,Пласт,ГИС,Тип,Перфоратор,N отв,Hнач(md),Hкон(md),Hнач(abs),Hкон(abs),"Hнач(abs,тр)","Hкон(abs,тр)",Плотность,Открыт
78R,29.05.1968,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,35,2104.0,2109.0,2060.3,2065.3,2060.3,2065.3,7,Да
129R,22.08.1981,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,132,2105.0,2116.0,2051.9,2062.9,2052.0,2063.0,12,Да
137R,24.07.1983,Ю2-6,,,Oткрытый ствол ( без фильтрa),0,2105.0,2135.0,2047.2,2077.2,2047.2,2077.2,0,Да
171R,13.09.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,108,2105.0,2111.0,2056.1,2062.1,2056.1,2062.1,18,Да
57R,03.08.1966,НП5/1а,,ПЕРВИЧ.ПЕРФ.,,60,2106.0,2112.0,2062.3,2068.3,2062.3,2068.3,10,Да
88R,29.05.1981,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2110.0,2116.0,2064.1,2070.1,2064.1,2070.1,12,Да
113R,09.08.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,2111.0,2116.0,2064.6,2069.6,2064.5,2069.5,12,Да
113R,01.08.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,24,2112.0,2114.0,2065.6,2067.6,2065.5,2067.5,12,Да
112R,20.10.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,144,2113.0,2125.0,2082.9,2094.9,2082.9,2094.9,12,Да
179R,25.03.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,2114.0,2118.0,2068.5,2072.5,2068.4,2072.4,12,Да
170R,26.04.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,2120.0,2130.0,2075.0,2085.0,2074.9,2084.9,12,Да
113R,01.08.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,2124.0,2128.0,2077.6,2081.6,2077.4,2081.4,12,Да
177R,10.05.1987,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,40,2124.0,2128.0,2090.1,2094.1,2090.1,2094.1,10,Да
113R,09.08.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,2125.0,2128.0,2078.6,2081.6,2078.4,2081.4,12,Да
179R,06.03.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,60,2127.0,2133.0,2081.5,2087.5,2081.4,2087.4,10,Да
107R,17.02.1981,Ю2-6,,ПЕРЕСТРЕЛ,Пкс-80,85,2130.0,2135.0,2092.1,2097.1,2092.1,2097.1,17,Да
91R,20.06.1981,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,2130.0,2135.0,2099.0,2104.0,2099.0,2104.0,12,Да
101R,28.12.1981,НП9,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,2131.0,2138.0,2110.3,2117.3,2110.3,2117.3,12,Да
107R,23.01.1981,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,2131.0,2138.0,2093.1,2100.1,2093.1,2100.1,12,Да
134R,13.06.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,2133.0,2140.0,2084.7,2091.7,2084.7,2091.7,12,Да
78R,18.05.1968,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2134.0,2140.0,2090.3,2096.3,2090.3,2096.3,12,Да
9186G,08.12.2020,НП4,,ПЕРВИЧ.ПЕРФ.,Щелевой фильтр,0,2134.1,2151.8,,,1829.5,1841.3,0,Да
179R,14.03.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,60,2137.0,2143.0,2091.5,2097.5,2091.4,2097.4,10,Да
79R,18.10.1968,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,35,2137.0,2142.0,2117.9,2122.9,2117.9,2122.8,7,Да
9003,31.05.2016,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ЗКПО-114ПП-30ГП+ЗКПО-114ПП-30БО,160,2138.0,2146.0,2008.0,2016.0,2007.9,2015.9,20,Нет
9003,03.11.2016,Ю2-6,,ЗАЛИВКА,,0,2138.0,2146.0,2008.0,2016.0,2007.9,2015.9,0,Нет
126R,20.12.1981,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2152.0,2160.0,2104.6,2112.6,2104.6,2112.6,12,Да
123R,04.06.1982,Ю7-10,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2154.0,2162.0,2096.4,2104.4,2096.4,2104.4,12,Да
71R,09.09.1967,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пк-103,105,2159.0,2166.0,2109.3,2116.3,2109.3,2116.3,15,Да
126R,25.01.1982,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПКС-80+ПГДБК,108,2164.0,2170.0,2116.6,2122.6,2116.6,2122.6,18,Да
114R,11.03.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,2166.0,2171.0,2124.7,2129.7,2124.6,2129.6,12,Да
126R,12.01.1982,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2166.0,2172.0,2118.6,2124.6,2118.6,2124.6,12,Да
3409G2,29.01.2019,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,0,2166.6,2611.3,1766.7,1780.1,1766.8,1780.1,0,Да
60R,17.03.1966,Ю7-10,,ПЕРВИЧ.ПЕРФ.,Пкс-80,180,2167.0,2176.0,2118.1,2127.1,2118.1,2127.1,20,Да
85R,19.08.1980,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2177.0,2185.0,2126.0,2134.0,2126.1,2134.1,12,Да
60R,17.03.1966,Ю7-10,,ПЕРВИЧ.ПЕРФ.,Пкс-80,70,2178.0,2185.0,2129.1,2136.1,2129.1,2136.1,10,Да
80R,11.08.1968,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пк-103,143,2178.0,2191.0,2135.2,2148.2,2135.2,2148.2,11,Да
84R,28.04.1980,Ю7-10,,ПЕРВИЧ.ПЕРФ.,Пкс-105,96,2181.0,2189.0,2132.7,2140.7,2132.8,2140.8,12,Да
84R,28.04.1980,Ю7-10,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2182.0,2188.0,2133.7,2139.7,2133.8,2139.8,12,Да
R2-1,29.06.2012,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ЗКПО-ПП-30БО+ЗКПО-ПП-30ГП,336,2182.0,2198.8,2023.5,2040.3,2023.5,2040.3,20,Да
51R,19.08.1966,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,210,2206.0,2227.0,2164.7,2185.7,2164.7,2185.7,10,Да
123R,27.05.1982,Ю7-10,,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,2213.0,2216.0,2155.4,2158.4,2155.4,2158.4,12,Да
130R,29.07.1981,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,85,2215.0,2220.0,2175.9,2180.9,2175.9,2180.9,17,Да
4568G,30.10.2018,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",3370,2216.3,2336.7,1862.8,1861.1,1862.8,1861.0,28,Да
3410G,04.04.2019,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,0,2222.2,2242.4,1768.0,1769.4,1768.0,1769.4,0,Да
104R,01.10.1982,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-105,96,2224.0,2232.0,2182.2,2190.2,2182.2,2190.2,12,Да
3409G,14.01.2019,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,0,2255.1,2547.4,1767.1,1766.8,1767.1,1766.8,0,Да
3408G,02.02.2018,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,4818,2255.2,2427.3,1787.3,1792.7,1787.3,1792.7,28,Да
3410G,04.04.2019,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,0,2265.7,3304.7,1770.2,1775.8,1770.2,1775.8,0,Да
4077G,18.01.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",10304,2269.0,2638.7,1839.8,1844.6,1839.9,1844.6,28,Да
4115G,25.04.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,3126,2269.8,2381.5,1840.1,1846.0,1840.1,1846.0,28,Да
7001G,23.10.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Фильтр,12762,2290.3,2746.1,1845.0,1851.2,1845.1,1851.2,28,Нет
7001G,01.01.2019,НП4,НП4,ЗАЛИВКА,,0,2290.3,2746.1,1845.0,1851.2,1845.1,1851.2,0,Нет
4506G2,17.08.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,0,2291.3,2901.0,1826.1,1825.5,1826.2,1825.6,0,Да
4096G,20.09.2015,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",8008,2293.5,2579.4,1846.1,1848.7,1846.1,1848.7,28,Да
4134G,29.07.2017,,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,0,2296.9,2447.8,1840.3,1843.4,1840.3,1843.3,0,Да
4567G,10.09.2018,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",1921,2299.9,2359.9,1845.1,1846.5,1845.1,1846.5,32,Да
3411G,17.07.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",13094,2300.8,2768.4,1771.1,1783.1,1771.1,1783.1,28,Да
4135G2,06.11.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,2919,2306.2,2387.3,1830.3,1834.4,1830.3,1834.4,36,Да
4001G,15.06.2013,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",1680,2308.0,2368.0,1840.9,1844.3,1840.9,1844.3,28,Да
4116G,05.04.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,7639,2310.7,2583.5,1837.6,1844.8,1837.6,1844.8,28,Да
4556G,20.05.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,9671,2314.2,2659.6,1855.9,1864.4,1855.9,1864.4,28,Да
4095G,31.08.2015,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",3648,2314.6,2444.9,1851.8,1851.4,1851.8,1851.4,28,Да
4127G,16.10.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,4364,2328.8,2450.0,1837.4,1839.8,1837.3,1839.9,36,Да
3407G,10.10.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,16392,2329.8,2785.1,1790.6,1794.9,1790.6,1794.9,36,Да
3405G,30.07.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,851,2330.4,2360.7,1787.1,1788.4,1787.1,1788.4,28,Да
4117G,15.08.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,3427,2331.6,2454.1,1831.0,1833.3,1831.0,1833.3,28,Да
60R,10.03.1966,Ю11-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,80,2340.0,2348.0,2291.1,2299.1,2291.1,2299.1,10,Да
4576G2,25.11.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,4803,2349.5,2521.1,1885.9,1893.0,1887.8,1892.9,28,Да
4130G,20.10.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,6928,2350.6,2543.0,1848.9,1852.1,1848.9,1852.1,36,Да
60R,10.03.1966,Ю11-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,86,2352.0,2361.0,2303.1,2312.1,2303.1,2312.1,10,Да
4553G,12.06.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,0,2352.5,2660.9,1859.8,1865.7,1859.8,1865.7,0,Да
4568G,30.10.2018,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",6208,2353.2,2574.9,1861.0,1857.7,1860.9,1857.6,28,Да
4501G,26.04.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,6332,2358.2,2584.4,1826.0,1824.3,1826.0,1824.3,28,Да
4126G,13.07.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,6508,2364.6,2597.1,1838.8,1847.7,1838.8,1847.7,28,Да
3406G,02.09.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,9640,2367.2,2711.5,1804.6,1803.5,1804.7,1803.5,28,Да
3405G,30.07.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,283,2372.5,2382.6,1788.6,1788.8,1788.6,1788.8,28,Да
4001G,15.06.2013,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",2800,2378.0,2478.0,1844.3,1844.7,1844.3,1844.7,28,Да
4577G,14.07.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,0,2380.0,2633.5,1884.0,1887.8,1884.0,1887.8,0,Да
4136G,24.06.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,11114,2380.1,2777.0,1832.4,1838.2,1832.3,1838.2,28,Да
4075G,28.02.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,3412,2384.3,2506.1,1841.9,1849.0,1841.9,1849.0,28,Да
4507G,23.09.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,8501,2390.0,2693.6,1818.4,1818.0,1818.4,1817.9,28,Да
4134G2,25.07.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Фильтр,8857,2390.1,2706.4,1844.7,1853.9,1844.7,1853.8,28,Да
4066G,14.05.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,2268,2390.2,2471.0,1841.0,1842.6,1841.0,1842.6,28,Да
3405G,30.07.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,3399,2394.4,2515.7,1788.8,1789.3,1788.8,1789.3,28,Да
4508G2,09.04.2020,НП4,,ПЕРВИЧ.ПЕРФ.,ФБ 114,6759,2396.4,2637.9,1808.8,1825.4,1827.8,1827.8,28,Нет
4508G2,14.11.2020,НП4,,ЗАЛИВКА,,0,2396.4,2637.9,1808.8,1825.4,1827.8,1827.8,0,Нет
4078G,06.05.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,3714,2398.9,2531.6,1832.3,1834.0,1832.3,1834.0,28,Да
4115G,25.04.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,854,2404.9,2435.4,1847.1,1848.5,1847.1,1848.5,28,Да
4567G,10.09.2018,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",961,2405.7,2435.7,1845.9,1845.1,1845.9,1845.1,32,Да
4135G,01.11.2017,,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,0,2410.0,2601.9,1833.4,1833.6,1833.4,1833.6,0,Да
4544G,18.11.2019,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,0,2410.4,2491.1,1834.5,1836.2,1834.5,1836.2,0,Да
4135G2,06.11.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,730,2413.7,2434.0,1835.9,1837.0,1835.9,1837.0,36,Да
91R,15.06.1981,Ю7-10,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,2414.0,2421.0,2382.6,2389.6,2382.9,2389.9,12,Да
4572G2,12.10.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,9088,2414.6,2739.2,1886.7,1883.9,1887.7,1883.8,28,Да
4105G,12.05.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,280,2415.0,2425.0,1852.0,1852.2,1852.0,1852.2,28,Да
4566G,16.07.2018,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Фильтр,7188,2419.7,2644.3,1838.6,1840.1,1838.5,1840.1,32,Да
4076G,19.11.2015,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",8344,2423.3,2721.3,1849.4,1851.9,1849.4,1851.9,28,Да
3412G,20.08.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,10612,2425.8,2804.8,1788.2,1792.9,1788.2,1792.9,28,Да
4064G,03.08.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Фильтр,11293,2431.3,2745.0,1849.5,1850.1,1849.5,1850.1,36,Да
4551G2,07.08.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,0,2434.4,2888.8,1851.5,1853.6,1851.0,1853.5,0,Да
4516G,23.07.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,0,2443.9,2617.6,1823.2,1822.4,1823.2,1822.3,0,Да
4133G,16.08.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,4812,2444.5,2616.4,1850.9,1853.0,1850.7,1852.9,28,Да
3408G,02.02.2018,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,4811,2451.4,2623.2,1793.5,1798.8,1793.5,1798.8,28,Да
4500G,26.07.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,0,2454.5,2698.5,1827.7,1828.7,1827.7,1828.6,0,Да
4057G,25.05.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,10577,2455.1,2832.8,1838.5,1843.6,1838.6,1843.5,28,Да
139R,05.12.1983,Ю11-2,,ПЕРВИЧ.ПЕРФ.,ПКС-80+ПГДБК,144,2456.0,2460.0,2395.6,2399.6,2395.6,2399.6,36,Да
4573G,28.10.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,15344,2456.3,3004.8,1889.6,1888.9,1889.6,1888.9,28,Да
4576G,20.11.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,0,2456.9,2557.1,1888.7,1888.6,1888.6,1888.6,0,Да
4067G,22.12.2015,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",1120,2458.2,2498.0,1844.4,1845.5,1844.4,1845.5,28,Да
4097G,22.10.2015,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",1680,2458.5,2518.4,1842.7,1842.9,1842.7,1842.8,28,Да
4125G,02.10.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,4533,2459.8,2621.7,1847.2,1850.7,1847.2,1850.6,28,Да
4505G2,12.08.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,7395,2459.9,2724.0,1825.3,1825.9,1825.3,1825.9,28,Да
4502G,11.07.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,0,2460.7,2804.1,1824.8,1823.5,1824.8,1823.4,0,Да
4127G,16.10.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,3276,2461.1,2552.2,1839.9,1840.6,1839.9,1840.6,36,Да
4115G,25.04.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,857,2461.4,2492.0,1849.9,1851.5,1849.9,1851.5,28,Да
109R,23.04.1983,,,ПЕРВИЧ.ПЕРФ.,Пкс-80,132,2464.0,2475.0,2444.3,2455.3,2443.9,2454.8,12,Да
124R,27.03.1982,PZ,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,2464.0,2468.0,2405.2,2409.2,2405.2,2409.2,12,Да
125R,06.03.1984,,,,Oткрытый ствол ( без фильтрa),0,2464.0,2710.0,2415.7,2661.6,2415.9,2661.8,0,Да
4095G,31.08.2015,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",3973,2469.6,2611.6,1851.4,1851.6,1851.4,1851.6,28,Да
4105G,12.05.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,1684,2469.7,2529.9,1853.1,1853.2,1853.1,1853.1,28,Да
4135G2,06.11.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,2188,2469.8,2530.6,1839.6,1843.8,1839.6,1843.8,36,Да
4529G,12.07.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,0,2473.4,2959.3,1827.1,1827.1,1827.4,1827.1,0,Да
4574G2,04.07.2018,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",4498,2478.2,2618.8,1832.5,1833.7,1831.7,1833.7,32,Да
4065G,12.06.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,2576,2478.9,2571.1,1841.6,1843.0,1841.6,1843.0,28,Да
60R,13.02.1966,Ю11-3,,ПЕРВИЧ.ПЕРФ.,,174,2479.0,2496.4,2430.1,2447.5,2430.1,2447.5,10,Да
129R,15.08.1981,Ю11-2,,ПЕРВИЧ.ПЕРФ.,Пкс-80,114,2483.0,2502.0,2429.4,2448.4,2429.9,2448.9,6,Да
4572G,08.10.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,0,2485.6,2841.7,1888.8,1888.3,1888.8,1888.2,0,Да
83R,08.09.1979,Ю11-2,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2487.0,2493.0,2442.8,2448.8,2442.8,2448.8,12,Да
4001G,15.06.2013,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",7000,2488.0,2738.0,1844.8,1849.1,1844.8,1849.1,28,Да
4505G,07.08.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,0,2488.2,2994.2,1824.8,1824.9,1824.9,1824.9,0,Да
108R,22.10.1981,Ю11-2,,ПЕРВИЧ.ПЕРФ.,ПКО-80,56,2490.0,2504.0,2443.9,2457.9,2443.7,2457.7,4,Да
82R,04.10.1979,Ю7-10,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,2490.0,2494.0,2446.0,2450.0,2445.9,2449.9,12,Да
4106G,09.12.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,4004,2494.2,2637.1,1840.4,1849.9,1840.4,1849.9,28,Да
4134G,29.07.2017,,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,0,2496.0,2526.7,1842.5,1841.8,1842.4,1841.8,0,Да
139R,23.11.1983,PZ,,,Oткрытый ствол ( без фильтрa),0,2496.0,2652.0,2435.6,2591.6,2435.6,2591.5,0,Да
146R,10.01.1984,Ю11-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,0,2502.0,2511.0,2456.2,2465.2,2456.1,2465.1,0,Да
4537G,02.04.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,3685,2506.1,2637.7,1829.4,1828.5,1829.1,1828.3,28,Да
88R,09.05.1981,Ю11-2,,ПЕРВИЧ.ПЕРФ.,Пкс-80,192,2510.0,2526.0,2464.1,2480.1,2463.9,2479.9,12,Да
4534G,09.05.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,18658,2511.9,3178.2,1852.6,1852.2,1852.7,1852.1,28,Да
129R,07.08.1981,Ю11-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,2512.0,2530.0,2458.4,2476.3,2458.9,2476.9,7,Да
4058G,21.08.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,5964,2513.4,2726.6,1835.0,1839.3,1834.9,1839.3,28,Да
4544G,18.11.2019,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,0,2514.7,2736.7,1836.5,1837.7,1836.5,1837.6,0,Да
4115G,25.04.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,3397,2515.2,2636.6,1852.8,1855.2,1852.8,1855.1,28,Да
4066G,14.05.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,1680,2516.3,2576.8,1842.9,1842.8,1842.9,1842.7,28,Да
109R,19.04.1983,Ю11-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2522.0,2528.0,2502.3,2508.3,2501.8,2507.8,12,Да
146R,26.12.1983,,,ЩЕЛ.ФИЛЬТР ХВОСТ,Цементный мост,0,2525.0,2570.0,2479.2,2524.2,2479.1,2524.1,0,Нет
88R,05.05.1981,Ю11-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,216,2526.0,2544.0,2480.1,2498.1,2479.9,2497.9,12,Да
108R,09.10.1981,Ю11-3,,ПЕРВИЧ.ПЕРФ.,ПКО-89,148,2527.2,2542.0,2481.1,2495.9,2480.9,2495.7,10,Да
88R,30.04.1981,Ю11-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,2530.0,2540.0,2484.1,2494.1,2483.9,2493.9,12,Да
4075G,28.02.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,11117,2531.5,2928.6,1850.0,1850.6,1850.0,1850.4,28,Да
4575G2,27.10.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,283,2533.2,2543.3,1879.1,1879.6,1879.2,1879.6,28,Да
4067G,22.12.2015,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",9993,2534.9,2891.9,1845.9,1846.3,1845.9,1846.1,28,Да
129R,25.07.1981,PZ,,ПЕРВИЧ.ПЕРФ.,ТКО-70А+ПКС-80+ПКС-105,0,2535.0,2607.0,2481.3,2553.2,2481.9,2553.9,0,Да
4551G,02.08.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,0,2536.7,3738.7,1850.2,1854.9,1850.2,1854.9,0,Да
4025G,13.09.2018,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Фильтр,0,2539.9,2630.0,1835.5,1836.3,1835.4,1836.1,0,Да
4105G,12.05.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,6253,2541.2,2764.5,1853.2,1853.2,1853.1,1853.1,28,Да
4543G,14.12.2019,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФОК-114-8000,0,2541.4,3186.3,1832.3,1835.6,1832.3,1835.6,0,Да
124R,14.03.1982,PZ,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2542.0,2548.0,2483.2,2489.2,2483.1,2489.1,12,Да
4560G,29.07.2018,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",14054,2542.3,2981.5,1855.0,1856.9,1855.1,1856.8,32,Да
4097G,22.10.2015,НП4,НП4,ПЕРВИЧ.ПЕРФ.,"ФС-114*7.4 ""Д""",6190,2543.1,2764.2,1842.7,1841.5,1842.6,1841.5,28,Да
4533G,29.05.2020,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФБ 114,10890,2543.7,2932.6,1839.0,1843.3,1839.0,1843.2,28,Да
4117G,15.08.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ФСТПО-114-8000,6818,2548.9,2792.4,1833.1,1833.0,1833.1,1832.9,28,Да
